,artist_name,song_title
0,Harry Styles,As It Was
1,Jack Harlow,First Class
2,Future Featuring Drake & Tems,Wait For U
3,Lizzo,About Damn Time
4,Glass Animals,Heat Waves
5,Latto,Big Energy
6,Bad Bunny & Chencho Corleone,Me Porto Bonito
7,Re-ENTRY,Running Up That Hill (A Deal With God)
8,Harry Styles,Late Night Talking
9,The Kid LAROI & Justin Bieber,Stay
10,Bad Bunny,Titi Me Pregunto
11,Imagine Dragons X JID,Enemy
12,Morgan Wallen,Wasted On You
13,Bad Bunny,Moscow Mule
14,Justin Bieber,Ghost
15,Dove Cameron,Boyfriend
16,Doja Cat,Woman
17,Ed Sheeran,Bad Habits
18,Em Beihold,Numb Little Bug
19,Kodak Black,Super Gremlin
20,Morgan Wallen,You Proof
21,NEW,True Love
22,Parmalee,Take My Name
23,Ed Sheeran,Shivers
24,Megan Thee Stallion & Dua Lipa,Sweetest Pie
25,Bad Bunny & Rauw Alejandro,Party
26,Camila Cabello Featuring Ed Sheeran,Bam Bam
27,Lil Nas X,Thats What I Want
28,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
29,Bad Bunny,Despues de La Playa
30,Walker Hayes,AA
31,Jason Aldean,Trouble With A Heartbreak
32,Future,Puffin On Zootiez
33,Karol G,Provenza
34,Becky G X Karol G,MAMIII
35,Bad Bunny & Bomba Estereo,Ojitos Lindos
36,Post Malone Featuring Roddy Ricch,Cooped Up
37,Cody Johnson,'Til You Can't
38,Kendrick Lamar,N95
39,Zach Bryan,Something In The Orange
40,Harry Styles,Music For A Sushi Restaurant
41,Harry Styles,Matilda
42,The Kid LAROI,Thousand Miles
43,Tate McRae,She's All I Wanna Be
44,Lil Baby,In A Minute
45,Harry Styles,Daylight
46,NEW,Sleazy Flow
47,Scotty McCreery,Damn Strait
48,Doja Cat,Get Into It (Yuh)
49,Bad Bunny,Efecto
50,Kendrick Lamar & Kodak Black,Silent Hill
51,"Kendrick Lamar, Blxst & Amanda Reifer",Die Hard
52,Lady Gaga,Hold My Hand
53,Ed Sheeran Featuring Lil Baby,2step
54,Bailey Zimmerman,Fall In Love
55,JNR CHOI & Sam Tompkins,To The Moon!
56,Thomas Rhett,Slow Down Summer
57,Harry Styles,Little Freak
58,NEW,See Wat I'm Sayin
59,NEW,Die Young
60,Harry Styles,Grapejuice
61,Bad Bunny,Un Ratito
62,Bad Bunny & Jhay Cortez,Tarot
63,Shawn Mendes,When You're Gone
64,Harry Styles,Satellite
65,Kane Brown,Like I Love Country Music
66,Lil Durk Featuring Gunna,What Happened To Virgil
67,Cole Swindell / Lainey Wilson,Never Say Never
68,Morgan Wallen,Thought You Should Know
69,Miranda Lambert,If I Was A Cowboy
70,NEW,Potion
71,Quavo & Takeoff,Hotel Lobby (Unc And Phew)
72,Lil Baby,Right On
73,Tyga X Doja Cat,Freaky Deaky
74,Harry Styles,Cinema
75,Harry Styles,Keep Driving
76,Harry Styles,Daydreaming
77,Bad Bunny,Yo No Soy Celoso
78,ERNEST Featuring Morgan Wallen,Flower Shops
79,Russell Dickerson & Jake Scott,She Likes It
80,Harry Styles,Love Of My Life
81,Re-ENTRY,Ghost Story
82,Kendrick Lamar,Rich Spirit
83,Bad Bunny & Tony Dize,La Corriente
84,Bad Bunny,Neverita
85,NEW,She Had Me At Heads Carolina
86,NEW,Sunroof
87,Harry Styles,Boyfriends
88,Maren Morris,Circles Around This Town
89,Jack Harlow,Dua Lipa
90,NEW,F.N.F. (Let's Go)
91,Re-ENTRY,Handsomer
92,Future Featuring Drake,I'm On One
93,Ella Mai,DFMU
94,Bad Bunny & Buscabulla,Andrea
95,Future,Love You Better
96,NEW,Wild Hearts
97,NEW,Last Night Lonely
98,NEW,7500 OBO
99,NEW,Until I Found You
